Member Name,Party,District,Position,Room,Phone,Email,Chamber,Legislative Assistant,LA Email,,,
Peter Abbarno,R,20,1,LEG 425B,(360) 786-7896,Peter.Abbarno@leg.wa.gov,House,Catherine Word,catherine.word@leg.wa.gov,,
Hunter Abell,R,7,2,LEG 122B,(360) 786-7988,Hunter.Abell@leg.wa.gov,House,Rebecca Ann,Rebecca.Ann@leg.wa.gov,,
Emily Alvarado,D,34,,LEG 415,(360) 786-7667,Emily.Alvarado@leg.wa.gov,Senate,Katie Lewis,Katie.Lewis@leg.wa.gov,,
Andrew Barkis,R,2,1,LEG 427A,(360) 786-7824,Andrew.Barkis@leg.wa.gov,House,Kaden Sanné,kaden.sanne@leg.wa.gov,,
Stephanie Barnard,R,8,1,JLOB 431,(360) 786-7986,Stephanie.Barnard@leg.wa.gov,House,Brooke Myrland,Brooke.Myrland@leg.wa.gov,,
Jessica Bateman,D,22,,LEG 409,(360) 786-7642,Jessica.Bateman@leg.wa.gov,Senate,Kasey Schiewe,kasey.schiewe@leg.wa.gov,,
April Berg,D,44,2,LEG 132C,(360) 786-7892,April.Berg@leg.wa.gov,House,Katharine Gillen,Katharine.Gillen@leg.wa.gov,,
Steve Bergquist,D,11,2,LEG 438B,(360) 786-7862,Steve.Bergquist@leg.wa.gov,House,Syd Locke,Syd.Locke@leg.wa.gov,,
Adam Bernbaum,D,24,1,JLOB 418,(360) 786-7916,Adam.Bernbaum@leg.wa.gov,House,Ryan O'Connor,Ryan.O'Connor@leg.wa.gov,,
Liz Berry,D,36,2,LEG 132B,(360) 786-7860,Liz.Berry@leg.wa.gov,House,Sam Tinsley,Sam.Tinsley@leg.wa.gov,,
Matt Boehnke,R,8,,INB 241A,(360) 786-7614,Matt.Boehnke@leg.wa.gov,Senate,Virginia Hall,virginia.hall@leg.wa.gov,,
John Braun,R,20,,LEG 314,(360) 786-7638,John.Braun@leg.wa.gov,Senate,Ruth Peterson,ruth.peterson@leg.wa.gov,Patricia Krause,patricia.krause@leg.wa.gov,
Dan Bronoske,D,28,2,LEG 132D,(360) 786-7958,Dan.Bronoske@leg.wa.gov,House,Tamlyn Crain,Tamlyn.Crain@leg.wa.gov,,
Brian Burnett,R,12,1,JLOB 410,(360) 786-7954,Brian.Burnett@leg.wa.gov,House,Jeri Taylor-Swade,Jeri.Taylor-Swade@leg.wa.gov,,
Michelle Caldier,R,26,2,LEG 427B,(360) 786-7802,Michelle.Caldier@leg.wa.gov,House,LJ Rohrer,lj.rohrer@leg.wa.gov,,
Lisa Callan,D,5,2,JLOB 420,(360) 786-7876,Lisa.Callan@leg.wa.gov,House,Erika Boyd,erika.boyd@leg.wa.gov,,
Mike Chapman,D,24,,LEG 402,(360) 786-7646,Mike.Chapman@leg.wa.gov,Senate,Meagan Arndt,meagan.arndt@leg.wa.gov,,
Rob Chase,R,4,2,JLOB 434,(360) 786-7984,Rob.Chase@leg.wa.gov,House,Hillary Pham,Hillary.Pham@leg.wa.gov,,
Leonard Christian,R,4,,INB 322A,(360) 786-7606,leonard.christian@leg.wa.gov,Senate,Casey Cochrane,Casey.Cochrane@leg.wa.gov,,
